Bandwidth(Gbps) Channel_space(GHz)  OSNR    Reach(km)
100             50                9.8     3000
100             75                  8       5000

200             50                  19.3    1000
200             62.5                17.5    1500
200             75                  15.5    2000

300             75                  19.8    1100
300             87.5                18.5    1500
300             100                 17.2    2000

400             75                  22.8    600
400             87.5                20.2    1000
400             100                 18.2    1500
400             112.5               17.9    1600
400             125                 17.6    1700
400             137.5               17.4    1800
400             150                 17.4    1900

500             87.5                22.6    600
500             100                 20.5    900
500             112.5               19.8    1100
500             125                 19.3    1200
500             137.5               19      1300
500             150                 18.7    1400

600             87.5                25.8    300
600             100                 23.5    400
600             112.5               22.3    500
600             125                 21.7    600
600             137.5               21.3    700
600             150                 20.7    800

700             100                 26.3    200
700             112.5               24.8    300
700             125                 23.9    350
700             137.5               22.8    450
700             150                 22.2    500

800             112.5               27.2    150
800             125                 25.9    200
800             137.5               25.1    250
800             150                 24.1    300
